epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,4362.19,1.56163,1.06095,0.00819,0.81398,0.68294,0.77567,0.44469,1.55227,0.96658,0.01326,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4445.25,1.5647,1.061,0.00815,0.816,0.68283,0.77632,0.44511,1.55278,0.96597,0.01326,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4527.04,1.56434,1.06138,0.00813,0.81588,0.68356,0.77653,0.44526,1.55201,0.96725,0.01325,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4608.38,1.55883,1.05395,0.00809,0.81725,0.68351,0.77654,0.44542,1.55137,0.96729,0.01322,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4690.53,1.55834,1.05232,0.00802,0.81693,0.68305,0.77658,0.44583,1.55015,0.96637,0.01321,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4772.18,1.55813,1.05596,0.00807,0.81694,0.68341,0.77698,0.4462,1.54889,0.96522,0.01318,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4853.71,1.55703,1.05049,0.00802,0.81758,0.68367,0.77709,0.44693,1.54752,0.96443,0.01317,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4935.52,1.55641,1.04721,0.00799,0.81851,0.68338,0.77758,0.44742,1.54744,0.96431,0.01317,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5016.94,1.55257,1.048,0.008,0.81898,0.6839,0.77777,0.44766,1.5469,0.96322,0.01316,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5098.77,1.54985,1.04473,0.00803,0.81919,0.68399,0.77783,0.44761,1.54685,0.96293,0.01317,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5180.92,1.55088,1.04372,0.00796,0.81901,0.68419,0.77779,0.44756,1.54604,0.96294,0.01316,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5262.47,1.54338,1.03978,0.00799,0.81953,0.6844,0.77796,0.44746,1.54636,0.96143,0.01316,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5343.74,1.54097,1.0316,0.00794,0.81962,0.68431,0.77803,0.44756,1.54647,0.96096,0.01316,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5425.55,1.54129,1.03451,0.0079,0.81908,0.68547,0.77841,0.44788,1.54611,0.96035,0.01316,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
