epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,3192.6,1.37206,0.83089,1.23844,0.82713,0.68776,0.77799,0.43879,1.41865,0.75372,1.37951,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3263.68,1.36932,0.82957,1.23683,0.82844,0.68752,0.77759,0.43933,1.41704,0.75169,1.37925,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3338.75,1.36848,0.83165,1.23669,0.82847,0.68746,0.77814,0.43982,1.41681,0.7508,1.37976,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3407.61,1.36632,0.82605,1.23339,0.82701,0.68882,0.77847,0.43956,1.41713,0.74816,1.38016,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3476.33,1.36374,0.82506,1.23535,0.82607,0.69128,0.77862,0.44049,1.41542,0.74913,1.37541,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3553.57,1.3559,0.82326,1.2347,0.82779,0.69009,0.77954,0.44091,1.41554,0.74726,1.37629,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3626.33,1.35795,0.81855,1.2284,0.82878,0.68979,0.77981,0.44076,1.41438,0.74609,1.37685,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3706.33,1.35775,0.81884,1.22972,0.82893,0.68942,0.7792,0.44056,1.41436,0.74488,1.37933,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3777.12,1.35802,0.81845,1.22933,0.83029,0.68981,0.78011,0.44105,1.41383,0.74318,1.38025,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3855.61,1.35462,0.81657,1.2282,0.83266,0.68888,0.78036,0.4412,1.41347,0.74353,1.37904,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3931.64,1.35485,0.81662,1.22822,0.83199,0.6899,0.78061,0.44161,1.41242,0.74246,1.37761,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3998.46,1.35714,0.81839,1.22851,0.83056,0.6918,0.78182,0.44225,1.41181,0.7421,1.37649,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4065.22,1.35025,0.81368,1.22348,0.83098,0.69191,0.78216,0.44254,1.41163,0.74128,1.37743,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4145.9,1.34809,0.81037,1.22209,0.83102,0.69188,0.78223,0.44274,1.41133,0.7403,1.37783,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4220.85,1.34892,0.81043,1.22319,0.83249,0.69215,0.78261,0.44314,1.4105,0.73871,1.37696,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4295.22,1.34459,0.80768,1.22117,0.83178,0.69257,0.78265,0.44354,1.40941,0.73797,1.37569,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4366.31,1.34482,0.80721,1.22071,0.83154,0.69298,0.78296,0.44391,1.40862,0.73733,1.37613,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4437.21,1.34218,0.80595,1.21729,0.83053,0.6937,0.78289,0.44391,1.40825,0.73697,1.37648,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4515.52,1.33969,0.80471,1.21788,0.83123,0.69319,0.78276,0.44384,1.40779,0.7366,1.37645,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4590.6,1.34158,0.80168,1.21684,0.83141,0.6934,0.78317,0.44397,1.40738,0.73569,1.3763,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4666.73,1.3371,0.80088,1.21646,0.83118,0.69388,0.78299,0.44388,1.40729,0.73575,1.37672,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4741.86,1.33243,0.79686,1.21244,0.83132,0.69404,0.78327,0.44424,1.40703,0.73504,1.37656,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4811.37,1.33332,0.79623,1.21213,0.83084,0.69423,0.78331,0.44431,1.40711,0.7347,1.37757,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4883.45,1.32883,0.79255,1.21134,0.8315,0.69404,0.7835,0.44431,1.40675,0.73397,1.37774,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4958.8,1.33013,0.79452,1.21133,0.8307,0.69477,0.78369,0.44445,1.40649,0.73347,1.37774,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5028.86,1.32681,0.79062,1.20974,0.83116,0.69507,0.78376,0.44456,1.40631,0.73271,1.3777,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
