epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,8165.86,1.43246,0.9052,0.00721,0.8374,0.73818,0.82075,0.49361,1.45071,0.83532,0.01244,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8353.95,1.42567,0.9019,0.00725,0.83883,0.73799,0.82104,0.49377,1.44889,0.83347,0.01243,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8519.97,1.42203,0.89742,0.0073,0.83825,0.73844,0.82154,0.49408,1.44842,0.83183,0.01242,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8708.32,1.42437,0.89275,0.00716,0.84024,0.73748,0.8223,0.49544,1.4503,0.82875,0.01243,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8893.42,1.42125,0.89496,0.00715,0.84058,0.73606,0.82156,0.4943,1.44966,0.8303,0.01243,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9075.92,1.41804,0.89017,0.00716,0.84019,0.73759,0.8219,0.49538,1.45011,0.82842,0.01243,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9267.79,1.41354,0.88604,0.00715,0.84013,0.73919,0.82261,0.49573,1.44924,0.82525,0.01243,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9446.97,1.41424,0.88538,0.00711,0.84151,0.73997,0.82378,0.49677,1.44908,0.82258,0.01242,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9616.96,1.41179,0.88303,0.00709,0.84201,0.74049,0.82423,0.49671,1.44969,0.82142,0.01242,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9802.27,1.4075,0.87995,0.00705,0.84185,0.74198,0.82448,0.49654,1.44821,0.82173,0.01241,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
